iter	Passed	Remaining
431	789	1037
432	790	1035
433	792	1033
434	794	1031
435	796	1030
436	798	1028
437	799	1026
438	801	1024
439	803	1022
440	805	1020
441	807	1019
442	809	1017
443	810	1015
444	812	1013
445	814	1011
446	816	1010
447	818	1008
448	819	1006
449	821	1004
450	822	1001
451	824	999
452	826	997
453	828	995
454	829	993
455	831	992
456	833	990
457	834	988
458	836	985
459	837	983
460	839	981
461	840	979
462	842	976
463	843	974
464	845	972
465	847	971
466	849	969
467	851	967
468	852	965
469	854	963
470	856	962
471	858	960
472	860	959
473	862	957
474	864	955
475	866	953
476	868	952
477	870	950
478	872	948
479	874	946
480	875	945
481	877	943
482	879	941
483	881	939
484	883	938
485	885	936
486	887	934
487	888	932
488	890	931
489	892	929
490	894	927
491	896	925
492	898	923
493	900	922
494	902	920
495	903	918
496	905	916
497	907	914
498	909	913
499	911	911
500	913	909
501	914	907
502	916	905
503	918	903
504	919	901
505	921	899
506	922	896
507	923	894
508	925	892
509	926	890
510	928	888
511	929	886
512	931	883
513	932	881
514	934	879
515	935	877
516	936	875
517	938	873
518	939	870
519	941	868
520	943	867
521	945	866
522	947	864
523	949	862
524	951	860
525	953	859
526	955	857
527	957	855
528	958	853
529	960	852
530	962	849
531	964	848
532	965	846
533	967	844
534	969	842
535	971	840
536	973	839
537	974	837
538	976	835
539	978	833
540	980	832
541	982	830
542	984	828
543	986	826
544	988	824
545	989	823
546	991	821
547	993	819
548	995	817
549	997	816
550	999	814
551	1001	812
552	1003	810
553	1004	809
554	1006	807
555	1008	805
556	1010	803
557	1012	801
558	1014	800
559	1016	798
560	1018	796
561	1019	794
562	1021	793
563	1023	791
564	1025	789
565	1027	787
566	1028	785
567	1030	783
568	1031	781
569	1033	779
570	1034	777
571	1035	775
572	1037	772
573	1038	770
574	1040	769
575	1042	767
576	1044	765
577	1046	764
578	1048	762
579	1050	760
580	1052	758
581	1053	756
582	1056	755
583	1058	753
584	1059	751
585	1061	750
586	1063	748
587	1065	746
588	1067	744
589	1069	742
590	1070	741
591	1072	739
592	1074	737
593	1076	735
594	1078	733
595	1080	732
596	1081	730
597	1083	728
598	1085	726
599	1087	724
600	1089	723
601	1091	721
602	1092	719
603	1094	717
604	1096	715
605	1098	714
606	1100	712
607	1101	710
608	1103	708
609	1105	706
610	1107	704
611	1109	703
612	1110	701
613	1112	699
614	1114	697
615	1115	695
616	1116	693
617	1118	691
618	1119	689
619	1121	687
620	1122	685
621	1123	683
622	1125	680
623	1126	678
624	1127	676
625	1129	674
626	1130	672
627	1132	670
628	1133	668
629	1135	666
630	1136	664
631	1138	663
632	1140	661
633	1142	659
634	1144	657
635	1146	656
636	1148	654
637	1149	652
638	1151	650
639	1153	648
640	1155	647
641	1157	645
642	1159	643
643	1161	641
644	1163	640
645	1165	638
646	1167	636
647	1168	634
648	1170	633
649	1172	631
650	1174	629
651	1176	627
652	1178	626
653	1180	624
654	1182	622
655	1183	620
656	1185	619
657	1187	617
658	1189	615
659	1191	613
660	1193	611
661	1194	610
662	1196	608
663	1197	606
664	1199	604
665	1201	602
666	1203	600
667	1205	598
668	1207	597
669	1208	595
670	1210	593
671	1212	591
672	1213	589
673	1215	587
674	1216	585
675	1218	583
676	1220	582
677	1222	580
678	1224	578
679	1226	576
680	1227	575
681	1229	573
682	1230	571
683	1232	569
684	1233	567
685	1235	565
686	1237	563
687	1239	562
688	1241	560
689	1243	558
690	1245	556
691	1246	554
692	1248	553
693	1250	551
694	1252	549
695	1254	547
696	1255	545
697	1257	544
698	1259	542
699	1261	540
700	1263	538
701	1265	537
702	1266	535
703	1268	533
704	1270	531
705	1272	529
706	1274	528
707	1275	526
708	1278	524
709	1279	522
710	1281	520
711	1283	519
712	1285	517
713	1287	515
714	1289	513
715	1290	512
716	1292	510
717	1294	508
718	1296	506
719	1297	504
720	1299	502
721	1301	501
722	1303	499
723	1305	497
724	1306	495
725	1308	493
726	1309	491
727	1311	489
728	1312	487
729	1314	486
730	1315	484
731	1316	482
732	1318	480
733	1319	478
734	1321	476
735	1322	474
736	1324	472
737	1325	470
738	1326	468
739	1328	466
740	1329	464
741	1331	463
742	1333	461
743	1335	459
744	1337	457
745	1338	455
746	1340	454
747	1342	452
748	1344	450
749	1346	448
750	1348	446
751	1349	445
752	1351	443
753	1353	441
754	1355	439
755	1357	438
756	1359	436
757	1360	434
758	1362	432
759	1364	430
760	1366	429
761	1368	427
762	1370	425
763	1372	424
764	1374	422
765	1376	420
766	1378	418
767	1380	416
768	1382	415
769	1384	413
770	1385	411
771	1387	409
772	1389	408
773	1391	406
774	1392	404
775	1394	402
776	1396	400
777	1398	399
778	1400	397
779	1402	395
780	1403	393
781	1405	391
782	1406	389
783	1408	388
784	1410	386
785	1412	384
786	1414	382
787	1415	380
788	1417	378
789	1418	377
790	1420	375
791	1421	373
792	1423	371
793	1424	369
794	1426	367
795	1427	365
796	1429	364
797	1431	362
798	1433	360
799	1434	358
800	1436	356
801	1438	355
802	1440	353
803	1442	351
804	1443	349
805	1445	347
806	1447	346
807	1449	344
808	1451	342
809	1453	340
810	1454	339
811	1456	337
812	1458	335
813	1460	333
814	1462	331
815	1464	330
816	1465	328
817	1467	326
818	1469	324
819	1471	322
820	1473	321
821	1475	319
822	1476	317
823	1478	315
824	1480	314
825	1482	312
826	1484	310
827	1486	308
828	1487	306
829	1489	305
830	1491	303
831	1493	301
832	1494	299
833	1496	297
834	1498	296
835	1500	294
836	1501	292
837	1503	290
838	1504	288
839	1506	286
840	1507	285
841	1508	283
842	1510	281
843	1511	279
844	1513	277
845	1514	275
846	1516	273
847	1517	271
848	1518	270
849	1520	268
850	1521	266
851	1523	264
852	1524	262
853	1526	260
854	1528	259
855	1530	257
856	1531	255
857	1533	253
858	1535	252
859	1537	250
860	1539	248
861	1540	246
862	1542	244
863	1544	243
864	1546	241
865	1548	239
866	1549	237
867	1551	235
868	1553	234
869	1555	232
870	1557	230
871	1558	228
872	1560	227
873	1562	225
874	1564	223
875	1566	221
876	1568	219
877	1570	218
878	1572	216
879	1574	214
880	1575	212
881	1577	211
882	1579	209
883	1581	207
884	1583	205
885	1585	203
886	1587	202
887	1589	200
888	1591	198
889	1593	196
890	1595	195
891	1596	193
892	1599	191
893	1600	189
894	1602	188
895	1604	186
896	1606	184
897	1607	182
898	1609	180
899	1611	179
900	1612	177
901	1613	175
902	1615	173
903	1616	171
904	1617	169
905	1619	168
906	1620	166
907	1622	164
908	1624	162
909	1626	160
910	1628	159
911	1629	157
912	1631	155
913	1633	153
914	1635	151
915	1637	150
916	1639	148
917	1641	146
918	1642	144
919	1644	143
920	1646	141
921	1648	139
922	1650	137
923	1651	135
924	1653	134
925	1655	132
926	1657	130
927	1659	128
928	1661	126
929	1663	125
930	1665	123
931	1667	121
932	1668	119
933	1670	118
934	1672	116
935	1674	114
936	1676	112
937	1678	110
938	1679	109
939	1681	107
940	1683	105
941	1684	103
942	1686	101
943	1688	100
944	1690	98
945	1692	96
946	1694	94
947	1695	93
948	1697	91
949	1698	89
950	1700	87
951	1701	85
952	1702	83
953	1704	82
954	1705	80
955	1706	78
956	1708	76
957	1709	74
958	1711	73
959	1712	71
960	1714	69
961	1715	67
962	1716	65
963	1718	64
964	1720	62
965	1721	60
966	1723	58
967	1725	57
968	1727	55
969	1729	53
970	1731	51
971	1732	49
972	1734	48
973	1736	46
974	1738	44
975	1740	42
976	1741	41
977	1743	39
978	1745	37
979	1747	35
980	1749	33
981	1750	32
982	1752	30
983	1754	28
984	1756	26
985	1758	24
986	1760	23
987	1762	21
988	1763	19
989	1765	17
990	1767	16
991	1769	14
992	1771	12
993	1773	10
994	1775	8
995	1777	7
996	1779	5
997	1781	3
998	1783	1
999	1785	0
